ID,time,category,location,sublocation,description,disposition
2109300035,17:21,"Any civil problem","Spring Ln",N/A,"RP would like to speak with an officer about his landlord.","Service Provided."
2109300038,18:34,"Parking Complaint","Taylor Dr",N/A,"RP advised of a vehicle parked in a unique way, leaving only 8.5 feet of clearance. Vehicle cited.","Citation Issued."
2109300041,19:11,"Any civil problem","Spring Ln",N/A,"RP would like to speak to an officer regarding his tenant.","Advice Given."
2109300054,23:14,"ALARM","Madrone Ct",N/A,"POA -Key Fob Panic.","Alarm - False or Unk Reason for Activation."
2110010002,00:49,"With Subjects","Elsie Ln/Bolinas Rd",N/A,"","Subjects FI'd."
2110010015,08:59,"Animal Complaint/Problem Misc","Willow Av","Willow Apartments","RP advised of a white dog on her porch; the dog is unknown to the RP.","Service Provided."
2110010019,14:20,"Verbal Notice for suspended DL","7-11-Bolinas Rd",N/A,"Officer contacting a subject.","Report Taken."
2110010021,14:44,"Abandoned Vehicle","Bolinas Rd",N/A,"Citizen advised of a vehicle parked for a month without moving.","Log Entry Only."
2110010030,16:14,"Citizen Assist","Taylor Dr","Bennett House","RP is upset at his caregiver, who has left for the day.","Service Provided."
2110010031,16:17,"Found Property","Park Rd","Peri Park","Citizen brought in a found bracelet.","Log Entry Only."
2110010035,17:11,"Noise Complaint","Bolinas Rd","Deer Park Villa","RP reports excessive noise coming from Deer Park villa.","Service Provided."
2110010036,17:11,"Parking Complaint","June Ct",N/A,"RP advised of a vehicle in a "No Parking" zone in the area.","Service Provided."
2110010037,17:32,"Parking Complaint","Broadway Lot-Broadway",N/A,"Vehicle located in a red zone.","Verbal Warning."
2110010039,17:47,"With Subjects","Library-Sir Francis Drake Bl",N/A,"PST flagged down at the library.","Advice Given."
2110010040,17:50,"Noise Complaint","Porteous Av",N/A,"RP advised that he can hear a loud party coming from the restaurant.","Advice Given."
2110010041,18:30,"Any civil problem","Spring Ln",N/A,"RP advised that his landlord is in the driveway destroying his (RP's) property.","Service Provided."
2110010044,19:44,"Barking Dog","Spruce Rd",N/A,"RP reporting a dog barking in the area, unsure of the exact location.","Responsibles advised of complaint."
2110010046,20:22,"Noise Complaint","Bolinas Rd","Deer Park Villa","RP advising of excessive noise from the location.","Service Provided."
2110020004,08:43,"Bicycle Traffic Stop","Broadway Lot-Broadway",N/A,"","Citation Issued."
2110020005,08:45,"Traffic Complaint / Problem","Broadway/Bolinas Rd",N/A,"Citizen advised of many bicyclists in the area, causing vehicles to have to drive over the double yellow line. The RP said that when he tried to talk to some of the bicyclists, they pounded on his car.","Service Provided."
2110020008,09:17,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110020013,10:20,"Fingerprinting","Bolinas Rd","Police Department","","Service Provided."
2110020016,11:19,"Bicycle Traffic Stop","Bolinas Rd",N/A,"Bicyclist warned for traffic violation.","Verbal Warning."
2110020017,11:29,"Traffic Complaint / Problem","Bolinas Rd",N/A,"Citizen advised of a rock slide onto the street. The RP could only say it was closer to Fairfax than the Meadow Club.","Service Provided."
2110020024,13:49,"Abandoned Vehicle","Kent Av/Belle Av",N/A,"RP reports a boat on a trailer parked over 5 days.","Service Provided."
2110020028,14:44,"Suspicious Circumstances","Porteous Av",N/A,"RP called reporting a subject is on property he is not allowed to be at.","Service Provided."
2110020030,14:49,"Noise Complaint","Tamalpais Rd",N/A,"Via 911, RP reported he hears a lady singing opera, and would like her to stop. The responsible was found to be part of an event.","Log Entry Only."
2110020035,16:35,"Parking Complaint","Scenic Rd",N/A,"5L4 advised of a vehicle parked on the wrong side of the street.","Citation Issued."
2110020039,18:18,"Lost/Stolen","Glen Dr",N/A,"RP lost his black and gray iphone on the Loma Alta trail.","Log Entry Only."
2110020041,20:19,"Restraining Order Violation","Live Oak Av",N/A,"RP advising of a subject who came onto the property who she stated is not allowed to be there and she has a restraining order against.","Service Provided."
2110020042,20:39,"Noise Complaint","Bank St","Skate Park","RP advising of someone playing music loudly in the area.","Service Provided."
2110020044,21:22,"Parking Complaint","Deer Park Dr",N/A,"RP reporting a vehicle blocking RP's driveway. The responsible moved the vehicle.","Service Provided."
2110020046,22:32,"Noise Complaint","Hillside Dr/Meernaa Av",N/A,"RP reported loud music or drums being played in the area.","QOA."
2110020048,23:30,"Noise Complaint","Belmont Av",N/A,"RP advising of a possible juvenille party going on at the residence. Found to be a loud TV, no party.","Responsibles advised of complaint."
2110030001,00:11,"Citizen Assist","Broadway/Bolinas Rd",N/A,"Flag down.","Advice Given."
2110030002,00:24,"ALARM","Glen Dr","White Hill Middle School","","Alarm - False or Unk Reason for Activation."
2110030003,00:45,"With Subjects","Library-Sir Francis Drake Bl",N/A,"Out with one.","Subjects FI'd."
2110030004,01:15,"ALARM","Glen Dr","White Hill Middle School","","Alarm - False or Unk Reason for Activation."
2110030005,01:36,"Public Intoxication","Broadway",N/A,"Out with a WMA blk over blk on the WESTSIDE. Appears to be sleeping. Subject was contacted and found to be intoxicated to the extent he was unable to care for his own safety. He was arrested and transported to Marin County Jail.","Arrest Made."
2110030007,02:39,"ALARM","Glen Dr","White Hill Middle School","","Response Canceled."
2110030009,02:53,"911 HANG UPS / MISDIALS / ETC","Sir Francis Drake Bl","Care Meridian","Caller hung up when dispatch answered. On checking it was found they had already placed a call for fire response. Accidental redial.","Log Entry Only."
2110030014,07:54,"Miscellaneous Service","Scenic Ave-San Anselmo",N/A,"Follow up.","Service Provided."
2110030022,10:46,"Any civil problem","Spring Ln",N/A,"RP advising his landlord is on his roof, without RPs permission. Ongoing civil.","Service Provided."
2110030023,11:17,"Any civil problem","Cascade Dr",N/A,"RP requesting a phone call. RP needed to rent a room and gave a deposit of $500. RP was unable to move in and the landlord won't give her the money back.","Service Provided."
2110030024,11:41,"Generic Fire Call/Not Specified","Creek Rd",N/A,"For smell of gas in the area. code 2.","GOA/UTL."
2110030030,16:12,"Meet the Citizen","Police Department-Bolinas Rd",N/A,"RP requesting to speak with an Officer regarding advice on a DV incident that occured a few years ago.","Advice Given."
2110030031,16:46,"Animal Complaint/Problem Misc","Manzanita Rd/Frustuck",N/A,"RP reports injured skunk on the roadway.","Service Provided."
2110030038,23:12,"Footbeat","Plaza-Center Bl",N/A,"","Extra Patrol."
2110030039,23:18,"Disturbance","Bolinas Rd","Deer Park Villa","RP reports a possible altercation at the above address. yelling and banging doors for the past ten minutes.","Service Provided."
2110030042,23:50,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110040001,00:00,"With Subjects","Oak Manor 7-11-Sir Francis Drake Bl",N/A,"Out with a subject.","Response Canceled."
2110040002,00:59,"With Subjects","Sir Francis Drake Bl/Marinda Dr",N/A,"Out with a subject in the middle of the road.","Service Provided."
2110040004,01:42,"Bicycle Traffic Stop","Sir Francis Drake Bl/Marin Rd",N/A,"WMA.","Verbal Warning."
2110040009,06:00,"Animal Complaint/Problem Misc","Sir Francis Drake Bl/Willow Av",N/A,"RP reported a buck was hit by a truck and is injured by the side of the road.","Service Provided."
2110040011,08:01,"Parking Complaint","Park Rd",N/A,"RP reporting an RV that is parked partially blocking the sidewalk.","Service Provided."
2110040015,09:12,"Abandoned Vehicle","Piper Ln",N/A,"RP reporting a vehicle that has been parked for months without moving.","Service Provided."
2110040017,09:35,"Footbeat","Plaza-Center Bl",N/A,"","Extra Patrol."
2110040018,09:43,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110040021,09:56,"Footbeat","Parkade-Sir Francis Drake Bl/Claus Dr",N/A,"","Extra Patrol."
2110040023,10:20,"Assist Outside Agency - Law Enforcement","Sunny Hills Dr",N/A,"","Outside Assist."
2110040026,11:34,"Parking Complaint","Scenic Rd",N/A,"","Citation Issued."
2110040034,14:51,"Miscellaneous Service","Sir Francis Drake Bl/Olema Rd",N/A,"Blocking SFDB, Whites Hill vegetation fire.","Service Provided."
2110040036,15:53,"Meet the Citizen","Bolinas Rd","Police Department","Upset citizen yelling at the FPD counter demanding to speak with a supervisor.","Service Provided."
2110040037,16:15,"Vandalism","Center Bl","Good Earth Natural Foods","RP is reporting someone had slashed his front left tire on 10/3/2021 between 1845 - 2000 hours also on 9/16/21 the same tire was slashed. RP has a hunch that the suspect could be the owner of Java Hut.","Report Taken."
2110040038,17:22,"Miscellaneous Service","Good Earth Natural Foods-Center Bl",N/A,"Follow up.","Service Provided."
2110040040,17:49,"Citizen Assist","Pastori Av","Marin Town And Country Club","RP requesting a 10-21 for follow up for case FP21-0469.","Advice Given."
2110040046,21:49,"Cite Sign Off","Center Bl",N/A,"Citizen flag down for a cite sign off.","Service Provided."
2110040047,21:58,"Cite Sign Off","Center Bl",N/A,"Citizen flagdown for cite sign off.","Service Provided."
2110040048,22:54,"Noise Complaint","Frustuck Av",N/A,"RP has an ongoing issue with a neighbor who talks loudly on his deck most nights until around 3am. The sound carries and keeps them awake. He is not cooperative when they ask him to quiet down.","Service Provided."
2110050001,00:25,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110050002,02:28,"Meet the Citizen","Bank Of America-Broadway",N/A,"Citizen flagdown by the ATM.","Service Provided."
2110050011,08:38,"Parking Complaint","Ridge Rd",N/A,"RP reporting a vehicle not leaving sufficient clearance. Dark blue SUV.","GOA/UTL."
2110050013,09:16,"Abandoned Vehicle","Porteous Av",N/A,"RP reporting a light brown GMC truck that has been parked over 72 hours.","Log Entry Only."
2110050015,09:32,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110050023,10:35,"Footbeat","Plaza-Center Bl",N/A,"","Extra Patrol."
2110050024,10:36,"911 HANG UPS / MISDIALS / ETC","Center Bl","Good Earth Natural Foods","Outside the parking lot, RP reporting a subject with green hoodie laying on the street. Unknown if conscious. Subject was contacted and was just sleeping.","Service Provided."
2110050028,10:58,"Welfare Check","Center Bl","Good Earth Natural Foods","RP reporting a subject just tried to take two sushi packages and was trying to leave without paying. RP was able to take it back. RP does not want to press charges just requesting a welfare check on the subject.","Service Provided."
2110050032,11:24,"Suspicious Circumstances","Forrest Av/Blackberry Ln",N/A,"RP reporting a male subject with a white shirt and a PG&E vest walking around the neighborhood and checking out the houses.","Service Provided."
2110050033,11:33,"Vehicle Accident - Non Injury","Bolinas Rd","Deer Park Villa","Delivery truck vs vehicle. no injuries. RP was not involved.","Service Provided."
2110050035,12:12,"Miscellaneous Service","Park Rd",N/A,"Sign verification - No parking signs. 10/11/2021 0700-1700 hrs.","Service Provided."
2110050037,12:24,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110050038,12:27,"ALARM","Forrest Av",N/A,"","Alarm - False or Unk Reason for Activation."
2110050043,16:43,"Juvenile Problem","Bolinas Rd","Police Department","Juvenile at the front counter reporting he was beaten up and threatened by another Juvenile.","Report Taken."
2110050044,17:28,"Parking Complaint","Manor Rd",N/A,"RP reporting a gray Toyota 4 door parked partially on the sidewalk and partially blocking the gate.","GOA/UTL."
2110050045,18:13,"Noise Complaint","Mitchell Dr","Canon Swim And Tennis Club","RP reported the music coming from the tennis club is extremely loud. RP would appreciate them being asked to turn the volume down.","QOA."
2110050047,19:20,"Bicycle Traffic Stop","Bolinas Rd",N/A,"WMA on a bike.","Verbal Warning."
2110050048,19:39,"Disturbance","Broadway","Parkade","RP reported a subject standing at the bus stop - screaming obscenities at people. Last seen walking E/B on Broadway from the bus stop. WMA carrying a white backpack.","GOA/UTL."
2110050049,20:13,"Noise Complaint","Scenic Rd",N/A,"RP complained of a party with amplified music, possibly a live band.","Responsibles advised of complaint."
2110050050,20:40,"Warrant Criminal","Elsie Ln/Winnie",N/A,"Out with a subject yelling. Doesn't appear to be talking to anyone but himself. Possibly a match with the person reported earlier. The subect was found to have an outstanding warrant. He was arrested and booked into Marin County Jail.","Service Provided."
2110050051,21:58,"Assist Outside Agency - Law Enforcement","Sir Francis Drake Bl/Sunnyhills Dr-San Anselmo",N/A,"Covering 20X1 on a traffic stop.","Outside Assist."
2110060008,06:35,"Power Outage","Bolinas Rd","Police Department","","Log Entry Only."
2110060009,06:43,"ALARM","Bolinas Rd",N/A,"","Alarm - False or Unk Reason for Activation."
2110060010,06:45,"ALARM","Sherman Av","Yolanda L Jurzykowski","","Alarm - False or Unk Reason for Activation."
2110060014,07:54,"Traffic Complaint / Problem","Bolinas Rd","Police Department","Bike to school day.","Service Provided."
2110060016,08:18,"911 HANG UPS / MISDIALS / ETC","Sir Francis Drake Bl",N/A,"VIA 911 reckless driver. Driver used the opposite lane to try and pass RP They were passing SIr/San Anselmo ave towards San Anselmo, Unknown DOT from there. Call was transfered to CMPA.","Log Entry Only."
2110060022,10:13,"Tree Down","Mono Av",N/A,"","Service Provided."
2110060023,10:17,"Abandoned Vehicle","Hillside Dr",N/A,"Anonymous RP reporting a Silver mini van parked for a year without moving.","Service Provided."
2110060024,10:18,"Abandoned Vehicle","Hillside Dr",N/A,"Anonymous RP reporting a 4 door Jaguar parked for a year without moving.","Service Provided."
2110060025,10:30,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110060027,11:45,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110060031,12:52,"Welfare Check","San Miguel Ct",N/A,"RP requested a welfare check on a Fairfax resident.","Service Provided."
2110060034,14:38,"Suspicious Circumstances","Broadway","Bank Of America","RP advising there is a large black suitcase, unattended, by the ATM.","Service Provided."
2110060037,15:30,"911 HANG UPS / MISDIALS / ETC","Taylor Dr","Bennett House","RP called 911 twice requesting his nurse's phone number. RP was advised to call non emergency number.","Report Taken."
2110060038,15:37,"Abandoned Vehicle","Kent Av/Belle Av",N/A,"Anonymous RP reporting a boat that had been tagged on Sunday hasn't been towed yet and it has been more than 72 hrs.","Log Entry Only."
2110060043,17:29,"Footbeat","Park-Bolinas Rd/Elsie",N/A,"","Service Provided."
2110060047,21:58,"Driving on suspended license","suspended license 2110060047Officer initiated activity at Sir Francis Drake Bl/Baywood Canyon",N/A,"Subject cited for driving on a suspended license.","Citation Issued."
2110070008,06:55,"Open Door","Broadway","Live Water Surf Shop","RP is passerby. reporting the front door to the surf shop is open, no one inside. There was a male subject peaking inside the store when RP drove by.","Service Provided."
2110070013,07:50,"Assist Outside Agency - Law Enforcement","Butterfield",N/A,"CMPA requested traffic control for an 1182.","Outside Assist."
2110070014,09:43,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110070017,10:32,"Fingerprinting","Bolinas Rd","Police Department","RP at the front counter for livescan appointment.","Service Provided."
2110070020,11:16,"Welfare Check","Manor Rd","Marin Towing","RP is with Health and Human Services reporting yesterday their Home delivery driver delivered meals to the above address. The homeowner brandished a handgun and made threats towards the driver. RP advised no further service will be provided until issue is resolved.","Service Provided."
2110070024,11:50,"Theft","Bolinas Rd","Naves Bar & Grill","Walk-in RP reports his backpack containing his computer and cash was stolen sometime yesterday. No suspect no surveillance. RP would like to speak with an officer for a report.","Report Taken."
2110070025,11:52,"Fingerprinting","Bolinas Rd","Police Department","RP at the front counter for a livescan appointment.","Service Provided."
2110070026,12:01,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110070027,12:13,"Fingerprinting","Bolinas Rd","Police Department","RP at the front counter for a livescan appointment.","Service Provided."
2110070028,12:24,"Welfare Check","Crescent Cir",N/A,"RP requested a welfare check for a Missing Juvenile.","Service Provided."
2110070029,12:36,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110070032,14:43,"Lost/Stolen","Bolinas Rd","7-11","RP at the front counter reporting his lost wallet. Black wallet with various ID Cards, Vaccination card, CDL and other miscellaneous items. RP would appreciate a call if found or turned in.","Log Entry Only."
2110070034,14:55,"Suspicious Circumstances","Broadway","Bank Of America","Anonymous Walk-in RP reported a suitcase was left next to the ATM, RP would like an officer to check on it.","Service Provided."
2110070037,15:53,"Cite Sign Off","Bolinas Rd","Police Department","","Service Provided."
2110070042,17:28,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110070043,18:00,"Attempt to Contact","Oak Manor Dr",N/A,"Follow up for case FP21-0628.","Service Provided."
2110070046,19:07,"Cite Sign Off","Bolinas Rd","Police Department","","Service Provided."
2110070047,19:26,"Traffic Complaint / Problem","Sir Francis Drake Bl","Library","RP advising of vehicle not able to maintain lanes, going 10-15 MPH below speed limit.","Log Entry Only."
2110070051,21:25,"911 HANG UPS / MISDIALS / ETC","Wreden Av",N/A,"RP advised she mistook a doordash driver for a suspicious person knocking on the door.","Log Entry Only."
2110070053,21:53,"Driving Under the Influence","Center Bl/San Anselmo Av-San Anselmo",N/A,"","Arrest Made."
2110070056,23:33,"Traffic Hazard","Sir Francis Drake Bl/June Ct",N/A,"Vehicle partially in roadway, hazards on, unoccupied.","Service Provided."
2110080002,00:08,"Sleeper","Library-Sir Francis Drake Bl",N/A,"","Subjects FI'd."
2110080011,09:46,"Vehicle Release","Bolinas Rd","Police Department","RP at the front counter for vehicle release.","Service Provided."
2110080015,11:55,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110080016,12:04,"Miscellaneous Service","Bay Rd",N/A,"Sign verification. 8 signs posted for Monday and Tuesday next week from 0800-1700hrs for paving.","Service Provided."
2110080019,13:19,"Parking Complaint","Sherman Av/Bolinas Rd",N/A,"Closer to Dominga. Parked in red zone "giant" truck.","Service Provided."
2110080020,13:33,"Theft","Cypress Dr",N/A,"RP at the counter reporting while RP was on vacation his S&W revolver went missing. RP had a friend watching over the house.","Report Taken."
2110080022,14:41,"Hazard","Bolinas Rd",N/A,"RP reporting large rocks in the middle of the road on the blind corner. RP believes its a hazard for vehicles driving through the area.","GOA/UTL."
2110080029,19:09,"With Subjects","Police Department-Bolinas Rd",N/A,"","Service Provided."
2110080033,21:44,"Parking Complaint","Live Oak Av",N/A,"Mid 2000s toyota sedan, blu in color, blocking part of the roadway.","Citation Issued."
2110080040,23:53,"Suspicious Circumstances","Sir Francis Drake Bl",N/A,"RP reporting someone attempting to repeatedly gain access to her unit. No description on subject just heard the noises.","GOA/UTL."
2110090002,01:05,"Verbal Notice for suspended DL","Macs At 19 Broadway-Broadway",N/A,"Blk/Blk.","Report Taken."
2110090003,01:06,"ALARM","Glen Dr","White Hill Middle School","POA - Portables.","Response Canceled."
2110090009,03:35,"911 HANG UPS / MISDIALS / ETC","Bolinas Rd","Police Department","911.Misdial from Monteray Co.","Log Entry Only."
2110090010,08:19,"Danger to Self/Others/Gravely Disabled","Tamalpais Rd",N/A,"VIA 911. RP reporting daughter is having a mental breakdown. Daughter is throwing things in the house and threatening to hurt herself. No weapons in the home.","Service Provided."
2110090014,10:03,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2110090017,11:24,"Fingerprinting","Bolinas Rd","Police Department","","Service Provided."
2110090019,12:00,"Threats","Taylor Dr","Bennett House","RP is caregiver reporting his patient is yelling and threatening him. Patient is heard yelling in the background.","Service Provided."
2110090020,12:08,"Fingerprinting","Police Department-Bolinas Rd",N/A,"","Service Provided."
2110090022,13:00,"Hit & Run Property Damage only","Sir Francis Drake Bl/Olema Rd",N/A,"911 transfer from COMM CENTER. 2000's dark blue 4DR sedan possibly a toyota with a flat tire. Vehicle hit two parked vehicle. White VW and white volvo sedan.","Arrest Made."
2110090023,13:18,"911 HANG UPS / MISDIALS / ETC","Oak Manor Dr","Manor School","Info via Comm Center. Screaming heard. unknown if emergency or soccer game.","Log Entry Only."
2110090038,20:01,"Meet the Citizen","Bolinas Rd","Police Department","RP in the lobby to speak about case FP21-0570.","Advice Given."
2110090039,21:06,"Disturbance","Dominga Av",N/A,"RP advising of a male subject yelling the middle of the street. No description as RP does not want to go outside to look.","GOA/UTL."
2110090040,21:17,"Animal Complaint/Problem Misc","Broadway","Lumber And Hardware","RP advising of a loose dog, friendly, no contact info on collar.","Service Provided."
2110100002,01:31,"Assist Outside Agency - Law Enforcement","Sir Francis Drake Bl",N/A,"Backing Up CMPA.","Outside Assist."
2110100003,01:53,"ALARM","Shady Ln","Kilroy Residence","POA - Family room window.","Alarm - False or Unk Reason for Activation."
2110100004,02:18,"Assist Outside Agency - Law Enforcement","Greenfield Ave","Matteuccis Bar","Assisting CMPA for 242 occurred approx 10 ago Suspect is an Indian Male dark clothing/ punched and kicked RP and walked off.","Outside Assist."
2110100015,09:36,"Theft","Oak Manor Dr",N/A,"RP would like to file a report. RP's Toyoyta prius catalytic converter was taken overnight.","Response Canceled."
2110100016,09:50,"Suspicious Circumstances","Forrest Av",N/A,"In the area. RP reporting a WMA 20's with a beanie and green sweats on going through neighbor tool box that is in a garage with the door open. 10 ago.","GOA/UTL."
2110100018,10:19,"Suspicious Circumstances","Broadway","Lumber And Hardware","RP reporting a tall WMA young with green sweat was trying to shoplift.","GOA/UTL."
2110100020,10:37,"Parking Complaint","Live Oak Av",N/A,"RP reporting a vehicle that has been parked for two days partially blocking the roadway.","Citation Issued."
2110100022,11:05,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110100026,12:29,"Meet the Citizen","Bolinas Rd","Police Department","RP at the front counter with some questions about a citation she received.","Service Provided."
2110100030,14:04,"Multiple Bikes Stopped","Post Office-Center Bl",N/A,"X2 wma blue / gray.","Verbal Warning."
2110100032,14:31,"Noise Complaint","Bolinas Rd/Broadway","Downtown","RP reporting loud/amplified music coming from the downtown area.","QOA."
2110100034,14:42,"911 HANG UPS / MISDIALS / ETC","Cascade Dr",N/A,"RP called 911 by accident. No medical, Fire or police needed.","Log Entry Only."
2110100035,14:46,"Lost/Stolen","Bolinas Rd/Broadway","Downtown","RP lost keys in the area last evening. If they are located, please notify the RP.","Log Entry Only."
2110100038,15:16,"Citizen Assist","Park Rd","Peri Park","RP is at FPD to report there is amplified music at Peri Park. The RP would like to know if it is a Town sanctioned event.","Service Provided."
2110100039,15:26,"Bicycle Traffic Stop","Plaza-Lansdale Av",N/A,"Wma blu/blk.","Verbal Warning."
2110100041,15:48,"Noise Complaint","Park Rd","Peri Park","RP advised the music coming from the park was so loud, she could hear it in her apartment two blocks away.","Service Provided."
2110100042,15:53,"Bicycle Traffic Stop","Lansdale Av/Hooper Ln-San Anselmo",N/A,"Ama gry/wit.","Verbal Warning."
2110100043,16:02,"Bicycle Traffic Stop","Lansdale Av/Hooper Ln-San Anselmo",N/A,"Wma blk/blk.","Verbal Warning."
2110100044,16:18,"Lost/Stolen","Bolinas Rd","Police Department","RP lost her pink, with yellow, wallet, near Archie Williams High School on Fridya night. IF anyone turns it in, please call the RP.","Log Entry Only."
2110100048,18:03,"Parking Complaint","Sir Francis Drake Bl/Claus Dr","Parkade","RP advised of a non-electric vehicl parked in an electric car charging space.","Citation Issued."
2110100050,19:18,"Domestic Violence / Disturbance","Taylor Dr",N/A,"RP advised that he and his wife had been fighting.","Report Taken."
2110100051,21:02,"Missing Person","Frustuck Av",N/A,"RP advised the mother of his children left suddenly, leaving the four children at home. They have been trying to contact her for an hour, with no luck.","Service Provided."
2110100052,21:07,"Juvenile Problem","Bolinas Rd","Sherwood Oaks Apartments","RP requested officers respond to his residence, as his 14 year old step-daughter was being disrespectful to her mother.","Log Entry Only."
2110100053,21:26,"Citizen Assist","Bolinas Rd","Police Department","RP called FPD, believing an officer wanted to talk to him about something that happened at his residence.","Log Entry Only."
2110100054,21:33,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2110100055,22:06,"Footbeat","Rudy Contratti Field-Bank St",N/A,"Officer saw a light on at the concession stand. Determined the stand was locked up.","Extra Patrol."
2110100056,22:20,"Footbeat","Peri Park-Park Rd",N/A,"","Extra Patrol."
2110100057,22:25,"Sleeper","Pavilion-Bolinas Rd",N/A,"Rear of the Pav, behind the baseball field.","Verbal Warning."
2110100058,22:48,"Citizen Assist","Sir Francis Drake Bl","Creekside East","VOIP RP would like to speak with an officer via telephone.","Advice Given."
2110100059,22:54,"Suspicious Circumstances","Walsh Ln",N/A,"RP reports that someone has tampered with a lock to a door located outside of house that is on the lower level of the house. RP advised he called for notifying PD of the incident only and does not request PD to respond.","Log Entry Only."
2110110008,07:36,"With Subjects","Bolinas Rd",N/A,"","Report Taken."
2110110010,07:49,"With Subjects","Claus Dr/Claus Cir",N/A,"Flag down.","Service Provided."
